adress,lat,long,city,zipcode
10 allée Bourvil, 48.788482, 2.448364 ,CRETEIL,94000
18 rue du chateau,48.793244, 2.456980,CRETEIL,94000
4 Rue Octave du mesnil,48.795352, 2.460575,CRETEIL,94000
8 rue du buisson, 48.798968, 2.463840 ,CRETEIL,94000
12 rue Cheret,48.800619, 2.465317,CRETEIL,94000
35 Avenue Jauzier Koestler,48.797410, 2.472336,Saint-maur-des-Fossés,94210
29 rue Vassal,48.791631, 2.473677,Saint-maur-des-Fossés,94210
71 avenue Beaurepaire,48.788659, 2.477475,Saint-maur-des-Fossés,94210
120 avenue Beaurepaire,48.786756, 2.482607,Saint-maur-des-Fossés,94210
8 rue du soleil,48.787331, 2.486212,Saint-maur-des-Fossés,94210
11 rue Lalande,48.787088, 2.491150,Saint-maur-des-Fossés,94210
110 avenue Raspail, 48.786118, 2.497003 ,Saint-maur-des-Fossés,94210
4 rue de la prospérité, 48.786674, 2.502985 ,Saint-maur-des-Fossés,94210
18 avenue du Succès,48.786354, 2.510324,Saint-maur-des-Fossés,94210
120 boulevard de la Marne,48.788514, 2.514736,Saint-maur-des-Fossés,94210
6 rue Casenave,48.788050, 2.521778,Chennevieres St Marne,94430
13 avenue de la Varenne,48.792113, 2.524220,Chennevieres St Marne,94430
48 rue Georges Clémenceau, 48.796572, 2.519675 ,Saint-maur-des-Fossés,94210
79 rue de Champigny, 48.801152, 2.524632 ,Chennevieres St Marne,94430
8 avenue Raymond Pointcarré, 48.801549, 2.518652 ,Saint-maur-des-Fossés,94210
48 avenue Raymond Pointcarré,48.805177, 2.517635,Saint-maur-des-Fossés,94210
12 rue Alexandre Dumas, 48.807410, 2.512918 ,Saint-maur-des-Fossés,94210
10 rue Grévin, 48.808655, 2.506694 ,Saint-maur-des-Fossés,94210
