,idk,number,adress,zipcode,city,idk3,lat,long
0,78472B008J-5066,5066,Ecurie,78660,Orsonville,CAD,48.477769,1.806909
25,784780034E-11,11,Rue de la Plaine,78660,Paray-Douaville,OSM,48.449513,1.845768
30,91016B001S-9001,9001,Bassonville Sud,91670,Angerville,CAD,48.288282,1.9819080000000002
128,910160036Y-35,35,Rue de la Chapelle,91670,Angerville,C+O,48.290805,2.0114650000000003
139,913900968K-3B,3BIS,Route de Saint-Lubin,91660,Le Mérévillois,OSM,48.297129999999996,2.05399
147,91390B038F-5952,5952,Courcelles Ham,91660,Le Mérévillois,C+O,48.302232000000004,2.096074
148,913901010F-10,10,Rue des Blés d'Or,91660,Le Mérévillois,OSM,48.300901,2.136607
171,910670010Y-30,30,Rue de la Beauce,91150,Blandy,C+O,48.310831,2.255039
172,77027B067L-5444,5444,Le Mesnil,77890,Beaumont-du-Gâtinais,C+O,48.131554,2.447367
224,770270180C-10,10,Route de Gaubertin,77890,Beaumont-du-Gâtinais,C+O,48.130305,2.470675
231,770270380V-64,64,Rue du Pont,77890,Beaumont-du-Gâtinais,C+O,48.132321000000005,2.478756
232,77027B084E-80,80,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.12557,2.519123
235,77027B084E-77T,77TER,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.125308000000004,2.520045
247,77297B056A-5000,5000,Montagne à la Barbe,77570,Mondreville,CAD,48.136702,2.57693
249,77297B091N-9001,9001,La Vallee de la Bocquere,77570,Mondreville,CAD,48.132694,2.591153
260,772970041C-40,40,Rue de la Garde,77570,Mondreville,C+O,48.139674,2.616619
263,770990662N-2,2,Rue du Gué César,77570,Château-Landon,C+O,48.125563,2.6742060000000003
274,770990420A-6397,6397,Ham de Flumotte,77570,Château-Landon,CAD,48.125174,2.692632
276,770990420A-1,1,Ham de Flumotte,77570,Château-Landon,CAD,48.125151,2.693243
279,770990420A-6542,6542,Ham de Flumotte,77570,Château-Landon,CAD,48.125315,2.693772
287,770991280K-10,10,Ham du Pont de Dordives,77570,Château-Landon,CAD,48.145254,2.7513389999999998
